,latitude,longitude,elevation,activity_name
38,29.640789,-98.625875,353.0,7141832315
39,29.476787,-98.477519,211.4,7143131692
40,29.479216,-98.47497,218.7,7143276009
41,29.586563,-98.765707,356.6,7149241321
42,27.794499,-97.394406,1.4,7166158549
43,27.728269,-97.35137,4.9,7179749410
44,27.793496,-97.394781,1.4,7203071788
45,27.68582,-97.177187,0.0,7216440050
46,27.687029,-97.180492,0.1,7217702231
47,37.801154,-122.450234,6.7,7228057899
48,37.607468,-122.017586,35.9,7229659064
49,30.498158,-98.818991,432.0,7256547107
50,29.549264,-98.764662,312.2,7261245756
51,29.461426,-98.47449,204.8,7272766812
52,30.262251,-97.749092,133.6,7299398585
53,29.56579,-98.453356,234.1,7310364513
0,29.461666,-98.474077,204.8,6664071378
1,27.786829,-97.393436,3.6,6706628364
2,27.794652,-97.394371,1.4,6764194086
3,29.621384,-98.574514,341.9,6783911377
4,29.443475,-98.480717,200.0,6795061344
5,29.409674,-98.494998,190.6,6798807516
6,27.826608,-97.383722,0.2,6834505646
7,27.794732,-97.394424,1.4,6835624940
8,29.409733,-98.494865,189.0,6870537918
9,29.461858,-98.473842,205.8,6877958642
10,29.66635,-98.395407,334.2,6885613779
11,29.561272,-98.446997,231.6,6892879435
12,29.449437,-98.531596,205.8,6907044841
13,29.42778,-98.487581,200.3,6913583059
14,29.517364,-98.382193,241.0,6920143389
15,29.621325,-98.574656,342.1,6927087759
16,29.409655,-98.494869,189.3,6941272347
17,27.792037,-97.388492,0.0,6955172004
18,27.805555,-97.392158,3.0,6960601115
19,29.461198,-98.474914,204.7,6972934775
20,29.409656,-98.494856,189.3,6981472216
21,30.67138,-97.736616,254.5,6992477407
22,30.277192,-97.775352,130.6,6993873215
0,29.461666,-98.474077,204.8,6664071378
1,27.786829,-97.393436,3.6,6706628364
2,27.794652,-97.394371,1.4,6764194086
3,29.621384,-98.574514,341.9,6783911377
4,29.443475,-98.480717,200.0,6795061344
5,29.409674,-98.494998,190.6,6798807516
6,27.826608,-97.383722,0.2,6834505646
7,27.794732,-97.394424,1.4,6835624940
8,29.409733,-98.494865,189.0,6870537918
9,29.461858,-98.473842,205.8,6877958642
10,29.66635,-98.395407,334.2,6885613779
11,29.561272,-98.446997,231.6,6892879435
12,29.449437,-98.531596,205.8,6907044841
13,29.42778,-98.487581,200.3,6913583059
14,29.517364,-98.382193,241.0,6920143389
15,29.621325,-98.574656,342.1,6927087759
16,29.409655,-98.494869,189.3,6941272347
17,27.792037,-97.388492,0.0,6955172004
18,27.805555,-97.392158,3.0,6960601115
19,29.461198,-98.474914,204.7,6972934775
20,29.409656,-98.494856,189.3,6981472216
21,30.67138,-97.736616,254.5,6992477407
