Activity_ID,Activity_Date,Activity_Name,Activity_Type,Activity Description,Elapsed_Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving_Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
6556669825,"Jan 21, 2022, 2:31:37 AM","Fitbod - Back, Biceps, Trapezius, Abs, Quadriceps",Weight Training,"387.0 Calories, 9 Exercises, 15,320 lb lifted, 0.86 mi",5635,0,,,false,,activities/6971896365.tcx.gz,,,5635.0,5635.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6570685650,"Jan 23, 2022, 3:58:40 PM","Fitbod - Chest, Shoulders, Back, Biceps, Triceps, Glutes, Adductors, Abs",Weight Training,"522.0 Calories, 13 Exercises, 25,270 lb lifted",5844,0,,,false,,activities/6986968572.tcx.gz,,,5844.0,5844.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6577398551,"Jan 25, 2022, 3:10:19 AM","Fitbod - Glutes, Abductors, Abs, Quadriceps",Weight Training,"229.0 Calories, 6 Exercises, 12,080 lb lifted, 0.7 mi",3516,0,,,false,,activities/6994162001.tcx.gz,,,3516.0,3516.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6582851459,"Jan 26, 2022, 3:06:04 AM","Fitbod - Triceps, Shoulders, Chest, Lower Back, Abs, Quadriceps",Weight Training,"448.0 Calories, 12 Exercises, 11,810 lb lifted, 0.91 mi",4918,0,,,false,,activities/6999956132.tcx.gz,,,4918.0,4918.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6587917390,"Jan 27, 2022, 3:28:49 AM","Fitbod - Back, Biceps, Abs, Quadriceps",Weight Training,"319.0 Calories, 7 Exercises, 9,650 lb lifted, 0.58 mi",4297,0,,,false,,activities/7005368669.tcx.gz,,,4297.0,4297.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6592748442,"Jan 28, 2022, 2:06:46 AM","Fitbod - Glutes, Adductors, Abs, Abductors, Quadriceps",Weight Training,"290.0 Calories, 7 Exercises, 23,160 lb lifted, 0.92 mi",4934,0,,,false,,activities/7010522155.tcx.gz,,,4934.0,4934.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6606099080,"Jan 30, 2022, 3:23:05 PM","Fitbod - Back, Abs, Biceps, Quadriceps",Weight Training,"327.0 Calories, 6 Exercises, 10,040 lb lifted, 0.9 mi",4079,0,,,false,,activities/7024852286.tcx.gz,,,4079.0,4079.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6613042515,"Feb 1, 2022, 3:10:04 AM","Fitbod - Abductors, Adductors, Glutes, Abs, Quadriceps",Weight Training,"252.0 Calories, 6 Exercises, 18,250 lb lifted, 0.9 mi",4161,0,,,false,,activities/7032286016.tcx.gz,,,4161.0,4161.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6623455137,"Feb 3, 2022, 3:23:29 AM","Fitbod - Shoulders, Chest, Triceps, Abs",Weight Training,"393.0 Calories, 9 Exercises, 16,930 lb lifted",4731,0,,,false,,activities/7043365629.tcx.gz,,,4731.0,4731.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
6636553633,"Feb 5, 2022, 4:57:44 PM","Fitbod - Back, Biceps, Abs, Trapezius",Weight Training,"324.0 Calories, 8 Exercises, 10,945 lb lifted",5067,0,,,false,,activities/7057386745.tcx.gz,,,5067.0,5067.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
